Keyword,dhq_count,joca_count,jocch_count,total_count,Significance score,Rank,Year,# of articles DHQ,# of articles JCA,# of articles JOCCH,Keyword appearances in Year,Total number of articles in Year,% of articles,Size
evaluation,3,1,24,28,0.8,15,2019,0.0,0.0,2.0,2.0,66.0,0.03,34
interpretation,17,1,9,27,0.8,16,2019,2.0,0.0,0.0,2.0,66.0,0.03,33
interpretation,17,1,9,27,0.8,16,2017,1.0,0.0,1.0,2.0,69.0,0.029,33
interpretation,17,1,9,27,0.8,16,2015,0.0,0.0,1.0,1.0,36.0,0.028,33
quantitative analysis,2,4,4,10,0.8,19,2015,0.0,0.0,1.0,1.0,36.0,0.028,30
classification,4,1,5,10,0.8,20,2015,1.0,0.0,0.0,1.0,36.0,0.028,29
computational methods,22,15,5,42,0.8,14,2014,1.0,0.0,0.0,1.0,40.0,0.025,35
interpretation,17,1,9,27,0.8,16,2014,1.0,0.0,0.0,1.0,40.0,0.025,33
map,6,3,9,18,0.8,17,2014,1.0,0.0,0.0,1.0,40.0,0.025,32
network analysis,8,2,2,12,0.8,18,2021,1.0,2.0,0.0,3.0,122.0,0.025,31
classification,4,1,5,10,0.8,20,2014,1.0,0.0,0.0,1.0,40.0,0.025,29
frequency,2,1,2,5,0.8,21,2014,0.0,0.0,1.0,1.0,40.0,0.025,28
interpretation,17,1,9,27,0.8,16,2022,1.0,1.0,1.0,3.0,124.0,0.024,33
classification,4,1,5,10,0.8,20,2022,1.0,0.0,2.0,3.0,124.0,0.024,29
evaluation,3,1,24,28,0.8,15,2016,0.0,0.0,1.0,1.0,47.0,0.021,34
frequency,2,1,2,5,0.8,21,2016,0.0,0.0,1.0,1.0,47.0,0.021,28
interpretation,17,1,9,27,0.8,16,2018,1.0,0.0,0.0,1.0,52.0,0.019,33
map,6,3,9,18,0.8,17,2018,0.0,0.0,1.0,1.0,52.0,0.019,32
computational methods,22,15,5,42,0.8,14,2023,1.0,1.0,0.0,2.0,111.0,0.018,35
network analysis,8,2,2,12,0.8,18,2023,1.0,0.0,1.0,2.0,111.0,0.018,31
quantitative analysis,2,4,4,10,0.8,19,2023,0.0,2.0,0.0,2.0,111.0,0.018,30
evaluation,3,1,24,28,0.8,15,2022,0.0,1.0,1.0,2.0,124.0,0.016,34
quantitative analysis,2,4,4,10,0.8,19,2022,1.0,1.0,0.0,2.0,124.0,0.016,30
map,6,3,9,18,0.8,17,2019,0.0,0.0,1.0,1.0,66.0,0.015,32
network analysis,8,2,2,12,0.8,18,2019,1.0,0.0,0.0,1.0,66.0,0.015,31
correlation,2,2,1,5,0.8,22,2019,1.0,0.0,0.0,1.0,66.0,0.015,27
computational methods,22,15,5,42,0.8,14,2017,1.0,0.0,0.0,1.0,69.0,0.014,35
classification,4,1,5,10,0.8,20,2017,0.0,1.0,0.0,1.0,69.0,0.014,29
correlation,2,2,1,5,0.8,22,2017,0.0,1.0,0.0,1.0,69.0,0.014,27
evaluation,3,1,24,28,0.8,15,2020,0.0,0.0,1.0,1.0,88.0,0.011,34
map,6,3,9,18,0.8,17,2020,0.0,0.0,1.0,1.0,88.0,0.011,32
correlation,2,2,1,5,0.8,22,2020,0.0,1.0,0.0,1.0,88.0,0.011,27
interpretation,17,1,9,27,0.8,16,2023,1.0,0.0,0.0,1.0,111.0,0.009,33
classification,4,1,5,10,0.8,20,2023,0.0,0.0,1.0,1.0,111.0,0.009,29
frequency,2,1,2,5,0.8,21,2023,1.0,0.0,0.0,1.0,111.0,0.009,28
correlation,2,2,1,5,0.8,22,2023,1.0,0.0,0.0,1.0,111.0,0.009,27
variability,1,1,1,3,0.8,23,2023,0.0,0.0,1.0,1.0,111.0,0.009,26
map,6,3,9,18,0.8,17,2021,1.0,0.0,0.0,1.0,122.0,0.008,32
map,6,3,9,18,0.8,17,2022,1.0,0.0,0.0,1.0,124.0,0.008,32
classification,4,1,5,10,0.8,20,2021,1.0,0.0,0.0,1.0,122.0,0.008,29
frequency,2,1,2,5,0.8,21,2021,1.0,0.0,0.0,1.0,122.0,0.008,28
frequency,2,1,2,5,0.8,21,2022,0.0,1.0,0.0,1.0,124.0,0.008,28
variability,1,1,1,3,0.8,23,2021,0.0,1.0,0.0,1.0,122.0,0.008,26
variability,1,1,1,3,0.8,23,2022,1.0,0.0,0.0,1.0,124.0,0.008,26
pattern,4,1,9,14,0.75,25,2012,0.0,0.0,1.0,1.0,10.0,0.1,24
pattern,4,1,9,14,0.75,25,2018,1.0,0.0,2.0,3.0,52.0,0.058,24
interaction,3,1,10,14,0.75,24,2009,1.0,0.0,0.0,1.0,20.0,0.05,25
interaction,3,1,10,14,0.75,24,2011,0.0,0.0,1.0,1.0,28.0,0.036,25
pattern,4,1,9,14,0.75,25,2023,1.0,0.0,2.0,3.0,111.0,0.027,24
pattern,4,1,9,14,0.75,25,2014,0.0,0.0,1.0,1.0,40.0,0.025,24
interaction,3,1,10,14,0.75,24,2014,0.0,0.0,1.0,1.0,40.0,0.025,25
interaction,3,1,10,14,0.75,24,2021,0.0,0.0,3.0,3.0,122.0,0.025,25
interaction,3,1,10,14,0.75,24,2020,0.0,1.0,1.0,2.0,88.0,0.023,25
interaction,3,1,10,14,0.75,24,2016,1.0,0.0,0.0,1.0,47.0,0.021,25
interaction,3,1,10,14,0.75,24,2018,1.0,0.0,0.0,1.0,52.0,0.019,25
interaction,3,1,10,14,0.75,24,2022,0.0,0.0,2.0,2.0,124.0,0.016,25
pattern,4,1,9,14,0.75,25,2017,1.0,0.0,0.0,1.0,69.0,0.014,24
interaction,3,1,10,14,0.75,24,2017,0.0,0.0,1.0,1.0,69.0,0.014,25
pattern,4,1,9,14,0.75,25,2020,0.0,1.0,0.0,1.0,88.0,0.011,24
interaction,3,1,10,14,0.75,24,2023,0.0,0.0,1.0,1.0,111.0,0.009,25
pattern,4,1,9,14,0.75,25,2021,0.0,0.0,1.0,1.0,122.0,0.008,24
pattern,4,1,9,14,0.75,25,2022,1.0,0.0,0.0,1.0,124.0,0.008,24
metadata,9,2,25,36,0.7,26,2008,0.0,0.0,2.0,2.0,3.0,0.667,23
metadata,9,2,25,36,0.7,26,2014,2.0,0.0,2.0,4.0,40.0,0.1,23
metadata,9,2,25,36,0.7,26,2023,0.0,1.0,8.0,9.0,111.0,0.081,23
metadata,9,2,25,36,0.7,26,2021,2.0,0.0,5.0,7.0,122.0,0.057,23
network,7,3,1,11,0.7,34,2015,2.0,0.0,0.0,2.0,36.0,0.056,15
metadata,9,2,25,36,0.7,26,2019,1.0,0.0,2.0,3.0,66.0,0.045,23
accessibility,5,1,7,13,0.7,32,2016,1.0,0.0,1.0,2.0,47.0,0.043,17
metadata,9,2,25,36,0.7,26,2017,1.0,0.0,2.0,3.0,69.0,0.043,23
network,7,3,1,11,0.7,34,2021,3.0,2.0,0.0,5.0,122.0,0.041,15
accessibility,5,1,7,13,0.7,32,2018,2.0,0.0,0.0,2.0,52.0,0.038,17
scale,2,2,6,10,0.7,35,2018,1.0,1.0,0.0,2.0,52.0,0.038,14
metadata,9,2,25,36,0.7,26,2020,2.0,1.0,0.0,3.0,88.0,0.034,23
metadata,9,2,25,36,0.7,26,2022,1.0,0.0,3.0,4.0,124.0,0.032,23
use cases,2,1,3,6,0.7,36,2017,1.0,0.0,1.0,2.0,69.0,0.029,13
accessibility,5,1,7,13,0.7,32,2023,0.0,1.0,2.0,3.0,111.0,0.027,17
scale,2,2,6,10,0.7,35,2023,0.0,1.0,2.0,3.0,111.0,0.027,14
scale,2,2,6,10,0.7,35,2014,0.0,0.0,1.0,1.0,40.0,0.025,14
accessibility,5,1,7,13,0.7,32,2020,2.0,0.0,0.0,2.0,88.0,0.023,17
metadata,9,2,25,36,0.7,26,2016,0.0,0.0,1.0,1.0,47.0,0.021,23
use cases,2,1,3,6,0.7,36,2018,1.0,0.0,0.0,1.0,52.0,0.019,13
network,7,3,1,11,0.7,34,2023,0.0,1.0,1.0,2.0,111.0,0.018,15
accessibility,5,1,7,13,0.7,32,2022,0.0,0.0,2.0,2.0,124.0,0.016,17
accessibility,5,1,7,13,0.7,32,2019,0.0,0.0,1.0,1.0,66.0,0.015,17
scale,2,2,6,10,0.7,35,2019,0.0,0.0,1.0,1.0,66.0,0.015,14
scale,2,2,6,10,0.7,35,2017,1.0,0.0,0.0,1.0,69.0,0.014,14
network,7,3,1,11,0.7,34,2017,1.0,0.0,0.0,1.0,69.0,0.014,15
use cases,2,1,3,6,0.7,36,2023,0.0,0.0,1.0,1.0,111.0,0.009,13
accessibility,5,1,7,13,0.7,32,2021,0.0,0.0,1.0,1.0,122.0,0.008,17
use cases,2,1,3,6,0.7,36,2022,0.0,1.0,0.0,1.0,124.0,0.008,13
scale,2,2,6,10,0.7,35,2021,0.0,0.0,1.0,1.0,122.0,0.008,14
scale,2,2,6,10,0.7,35,2022,0.0,0.0,1.0,1.0,124.0,0.008,14
network,7,3,1,11,0.7,34,2022,1.0,0.0,0.0,1.0,124.0,0.008,15
